..8....C..5A,.B...7..32.4,...5....8.9.,.85..67A...3,B1....C45.8.,6.C..2..A...,...B..6..3.C,.9.6C3....27,1...254..8B.,.3.1....2...,2.B8..3...4.,47..1....A..
..2.5..B7..A,....2A6..81.,.C4......6..,....A...4..6,...C.7.13..9,..9..2..CA..,..69..3..B..,A..19.B.6...,4..3...2....,..7......56.,.6C..358....,5..41..9.3..
..6.B......A,.C4..981..B.,B..5A.7.....,.124........,.876.42C....,...A7.65....,....13.76...,....56A.472.,........3C8.,.....8.67..C,.2..451..63.,3......9.A..
....4BA....3,.B4...37..6.,3...68..CB.A,.5.1...4..8C,9.867.......,A..B.....49.,.62.....1..9,.......985.2,59..C...4.B.,C.95..46...1,.1..89...23.,6....713....
.3.84..597..,.2.....9.5BC,..B..7.C2...,.5.2.36.....,..7.1...8...,689........2,B........82A,...5...A.3..,.....58.6.4.,...7A.B..9..,193.7.....6.,..645..17.A.
2....A.B.C..,.7....6...1.,.8B693..7.5.,8........6..,.6.1.7.4C..B,....1.B..78.,.32..B.9....,B..76.8.4.2.,..A........8,.2.C..36519.,.B...8....7.,..9.C.A....4
5...9.1..4.3,.1....24B.9.,6..7.B..52..,.2......3...,.....275...B,.56B.C.31...,...81.C.A3B.,B...A43.....,...4......5.,..12..4.8..5,.8.9C3....4.,C.4..1.9...A
.....5A7....,.7..2.4...9.,..4....1C..2,2......B5.7.,.B9...2.1.3.,..139......6,B......879..,.4.2.3...C6.,.5.A4......B,6..5A....2..,.2...4.9..A.,....5C7.....
4.B.2...A...,...1..6.493.,..A...7...5.,..47.6....B.,96.....4..C7,C31.A..7.6..,..3.7..C.5AB,AB..3.....74,.C....4.32..,.A...9...4..,.165.8..7...,...4...2.A.1
..18.......A,.6..A.....3.,.3...7..85.4,..54..C1.7B2,...2B.7.9...,.7.A56.....3,C.....4A3.1.,...3.5.C7...,429.71..C8..,5.7B..6...C.,.A.....5..9.,6.......52..
...1C8.6.A..,......9.61..,.C6.45.....3,B...9.25..7.,8.....4.965.,.4...6.8.C..,..8.1.C...2.,.1AB.9.....6,.5..3B.7...C,5.....A9.31.,..C8.4......,..4.2.B35...
..59.4....3.,B.8....6.59.,72....5A...8,352...7.C..4,..C......6..,.4.6..B8.9..,..9.A2..B.C.,..4......3..,C..3.7...265,5...73....1B,.7B.5....C.6,.8....6.57..
8.3...B..7..,6.7B.1C..2..,.1..3.......,B....59..36.,A4.9...25...,.......17.8A,25.74.......,...C1...6.57,.8B..95....2,.......8..4.,..2..B3.81.6,..6..4...5.B
.5..2..3.7.1,...B...82.5.,.12..6A5..8.,.87...C94...,B...A35..1..,..A4........,........A4..,..6..421...9,...237...81.,.4..653..9B.,.B.98...1...,5.3.1..B..2.
9..5.4.2....,6.3..95.A...,....6.C..9..,B.....97.AC.,.6..5C2.4...,..518.....92,5B.....C28..,...A.271..B.,.32.4B.....1,..7..6.4....,...C.83..6.A,....7.B.1..C
...5.8...6.C,.9....5.24..,.......3A.B.,14.C92...BA.,.B6.........,9.8A.C.6..73,A1..5.7.48.B,.........A9.,.63...4B5.C1,.C.18.......,..79.5....4.,5.B...C.7...
.784.......6,9.2......1.4,..5..B.79...,.B1.29..A..8,...8...1..73,.4...78..5..,..4..1B...3.,21..9...8...,6..7..4C.B2.,...53.6..A..,4.A......8.7,1.......5C4.
.8.95.16..2.,.5...B.....3,4....7...51C,..1.2...9..8,..2.9...4C5.,...8..C....7,3....8..2...,.257...A.1..,8..6...4.9..,936...B....2,2.....4...C.,.C..35.7A.B.
4A2.C.7...B.,C.7...A4..85,3....9...7..,....7..6..9.,12....89...B,A.....B..6.8,9.B..4.....1,6...57....39,.4..6..1....,..3...6....A,7B..93...2.4,.8...B.C.173
.26.3....8..,B..7.A.2....,8.C..B4....2,...3.4....C.,9.7.B.A6....,1A...9..2...,...9..2...75,....A5.4.1.6,.4....3.C...,3....CB..6.A,....1.6.9..8,..2....5.4B.
.4...3..6...,..7......2B.,.......C89.4,.6A...52B...,23..C.7..1..,.....A817.3.,.8.5BC3.....,..1..8.A..97,...B91...34.,B.96A.......,.78......4..,...C..1...6.
C.A...8..2..,.8..3.A6.9C7,...64...A.B.,86...4....2.,..9C....43..,1.3..8....7.,.5....1..C.A,..B8....74..,.7....B...35,.2.7...93...,A91.6C.2..4.,..5..B...1.2
...A...C.4..,2..1...4..AC,.....12..5.6,..7....8.C..,....54.623.7,B2....79...8,6...27....81,1.978.65....,..5.9....6..,5.6..A8.....,C8..B...9..4,..A.6...7...
6.C...3.7.4.,...5...839.2,....4.7...1.,..975...1B..,8..C6.A.42..,.5..........,..........2.,..4A.9.B8..1,..82...15C..,.6...C.9....,7.19B...C...,.A.4.7...6.5
.2.....3B5..,.7.....9218.,A..3..1.4..7,862..9....4.,1...38..9...,.43..B7.....,.....14..93.,...A..92...4,.9....6..B2A,7..6.2..3..C,.38C7.....6.,..A21.....9.
..541....3..,.1..5..9...8,...8..2..1C7,...A....8..C,...BA5.8...9,..3.B.....4.,.5.....B.8..,4...3.652...,C..1....A...,731..8..9...,2...9..A..8.,..B....235..
1..96.C.....,2..A1..45..6,7.B...8.....,.2.C.816..3.,65..4....AC.,...3....2...,...8....A...,.93....8..B5,.B..A26.C.8.,.....3...4.A,4..52..78..3,.....6.59..2
..3..8..62..,.49....2.C..,...2.31...B.,.61..7C...45,.......B..3.,7..3895....1,8....4B9C..2,.A..5.......,45...23..A8.,.2...B8.4...,..6.3....82.,..41..2..6..
...7..2.C...,.3.276......,B5..C198....,.C..2.......,2.B..CA.68..,6.3..8.5...9,5...A.3..4.8,..AB.51..3.2,.......7..B.,....9A86..41,......432.5.,...1.2..7...
..16....2A..,5.B...A3...1,423...7.C...,3...9....7.4,...7352.....,9.....B.....,.....1.....B,.....9456...,8.5....A...7,...1.2...843,6...47...9.A,..A8....5B..
32..A58.C..4,...A....32..,.....3..19A.,..5..9....1.,.3..5CB....8,C.4..A..93..,..62..9..7.C,B....1C7..2.,.A....4..1..,.C25..3.....,..AB....4...,1..4.7A6..9B
461..A.C5..9,.87A..9.4.6.,...9..7...8A,A....6......,9.C..3..6.4.,......A8....,....37......,.1.3..C..4.2,......B....6,34...8..A...,.A.5.4..C2B.,C..21.3..754
.5B..C.1....,..3.B.8..1C.,.4......9.8A,C..9...37.B.,73....2.8.1.,...8.9..C..3,A..3..4.2...,.2.1.8....A6,.8.59...3..B,5C.7......9.,.68..1.9.4..,....A.C..73.
....89...A6.,.....17..95.,.4.2.6.3C8..,7.16C....58B,.5...A.....9,........71..,..74........,2.....B...9.,8BC....937.A,..439.8.6.C.,.62..35.....,.89...47....
.3.8..AC.2..,7..2.5.1A..B,....4.2.18..,..2......41.,...B...25.6.,4...B.63...9,5...9C.4...A,.C.47...9...,.29......5..,..4A.6.7....,1..65.8.4..2,..8.31..6.A.
5...8.9...B.,8..4.CA..53.,..C......4..,....A.4....6,.15...B.C.8.,B.A.C..7..2.,.5..4..2.A.1,.6.C.5...29.,1....8.B....,..B......3..,.87..A2.1..5,.2...B.5...9
45.....2...8,..7C..6..2.1,1..2..B..C.6,.8..1....A6.,.74....9....,.....A5..41.,.6A..92.....,....3....B7.,.43....B..5.,B.9..2..C..5,7.1..8..B6..,C...6.....93
279...C.....,48...7532..A,......41.5.6,.1........A7,5.A73.......,.3..2...5.B.,.C.2...A..6.,.......9A7.2,19........8.,3.7.41......,6..8A39...4B,.....C...351
C7..6.B....1,.5.B71....CA,........B.3.,.1..3.8..752,......2A96..,....5C.....3,2.....48....,..65A9......,8CB..5.7..A.,.2.C........,B8....71C.9.,7....2.9..B8
BC....6.4...,8.3.2.A4C...,.....7......,C..3.....71.,45...9.1A3..,2A.....8..46,32..6.....A8,..7BA.8...32,.45.....B..9,......7.....,...C36.9.5.4,...4.5....C7
97....B.8...,A...8.......,...B69.A..5.,...6.A..5..4,.45..C...17.,18.A7....C..,..8....92.B7,.14...2..39.,7..2..8.6...,.A..9.3B1...,.......4...6,...C.7....2A
5......47...,..38..65.9.C,A....3..6.B4,7..5A..12..3,.1.C..2.....,......5..A1.,.41..2......,.....1..9.6.,8..96..C1..B,9A.4..8....6,B.C.74..53..,...79......A
...1.8...7..,5.9....A8..1,.....9C3..2.,B465.....1.A,.A.7...B.2.8,.....A..3..6,8..C..2.....,7.A.3...1.C.,3.1.....9852,.1..C25.....,4..8A....6.C,..B...7.A...
....642.....,.C.39....5..,14.2.5.C..A9,4..1.A..C3..,3.5....1B.6A,BA..5..3....,....4..7..96,67.92....C.8,..C4..A.5..7,C3..A.6.9.85,..4....23.B.,.....354....
.5....2...69,.298..5.....,46.C...B5.1.,2B57A.......,.C.4.8B.....,A......3.2..,..1.9......8,.....73.6.5.,.......A73B4,.1.93...B.85,.....B..9A4.,BA...5....C.
.6....724.3.,...9...38.C.,5A..6..4.2..,.2.A9..7.1..,1..........6,379...2....5,8....A...C19,9..........4,..6.C..97.2.,..2.4..5..7C,.9.47...B...,.5.BA3....4.
9.6..C.B14.2,......9...7.,A41.58....9.,...943......,CB3.........,1...9....B34,37B....1...A,.........627,......85C...,.5....48.3C6,.3...1......,8.72B.6..9.1
2C4.8.....7.,..3.6......B,6..83.2..4..,......3.5.8.,..8AB1..6...,...9......BA,51......2...,...2..7B8A..,.B.C.2......,..2..3.1A..7,C......7.3..,.4.....C.291
8......B..A.,..69..C....2,.1..976..8..,...1.8...4..,36....9..B2.,B.....179..8,6..74A.....B,.B8..6....41,..3...5.7...,..2..37A..9.,C....1..23..,.A..C......5
58....A3...1,...281....A.,.713.....8.2,8..AB..7...C,..9..6....3.,..4.1A2.....,.....89B.6..,.1....7..3..,4...5..CA..9,3.7.....5CB.,.5....8A9...,1...3B....48
8.A...1..B..,9..18.4.A.C.,.6.C2.5B8...,4......7.8..,..15....2C.7,.....C6.4...,...7.5C.....,5.BA....C4..,..4.B......A,...3A4.56.9.,.1.9.3.6B..C,..5..B...A.8
.163..2.5...,.4..7A.B28.6,..2B5....9..,......C.....,2..C4.....8.,.6.5.1.7....,....2.3.9.1.,.5.....C8..2,.....9......,..3....5B1..,6.C1B.A9..7.,...2.7..AC4.
.A9.3.2B1...,C25.8.......,6.....5..C..,4...69C7A.3.,19.A.B....C.,..........6.,.3..........,.4....3.8.B6,.8.641B5...2,..7..3.....1,.......9.2AC,...BA4.C.59.
5.91C.....7.,.3.......5..,C.87..53..A.,4..2...6.7..,..C...3A.8..,.7.85.9.C46.,.A79.8.51.4.,..3.94...6..,..6.A...8..7,.8..3C..72.9,..2.......C.,.9.....231.4
A7..1....C..,.4...5...2A.,.B.....8.7.6,5..73.A...2.,....4...6.C3,B...8..2.5..,..8.6..C...5,75.1...B....,.6...2.48..1,4.B.C.....5.,.A2...6...1.,..7....3..6B
.....C..2...,..7.82B....4,.A.C..3.8..B,3.....6B7.9.,.14.28......,B.6.......42,73.......B.A,......54.86.,.4.971.....3,C..A.7..B.2.,4....69C.A..,...5..8.....
.....AB..9..,5....1..A.2.,9..2..37B.1.,4B...5837..9,...59C..6...,C93........1,8........654,...6..C82...,2..C695...AB,.C.B23..1..8,.4.9..7....2,..5..B1.....
...8....C...,..1.93..5.B2,C37....B...1,..4.7B2.A...,75...6...2..,..C....93...,...54....6..,..B...A...83,...9.283.5..,3...1....87A,5C.A..42.B..,...7....2...
..5..4.C8.7.,...C9.2.....,..1.58.B..2A,...B....1A8.,.........635,....6A.9...C,8...3.76....,3B9.........,.6A7....3...,A7..2.64.5..,.....1.82...,.5.1C.A..B..
...C...69.18,9......85342,......4567..,..A...2...5B,......A9.23.,.C..8.....A6,C3.....2..7.,.18.4B......,47...C...6..,..C237......,8B472......9,A5.19...7...
...2.A.....8,A..C1.8..5..,.4.....2B6.9,3..9..B.7...,.7C...3.....,....874.2..6,C..1.498....,.....6...18.,...B.1..C..2,B.2A4.....1.,..9..2.34..C,7.....C.6...
13...A....4.,B..C.4....7.,6.4.9..31C..,....35..B..C,5.B..C28....,.4.A..6....5,7....3..4.C.,....781..B.9,3..5..92....,..236..5.7.4,.1....3.C..8,.C....8...1A
.1.3...74...,8...C.....67,.47...28.9..,......5...2.,45321...7..8,..6....25A.B,B.576....1..,1..A...4673C,.C...9......,..C.A5...84.,5A.....3...6,...1B...A.5.
.A...B......,....6..95A..,.9....C..2B6,4...5..8.C2.,.3C..71..B..,.12.C.6..7..,..B..9.7.31.,..1..6A..49.,.C4.B..3...A,1B9..3....6.,..854..6....,......9...7.
.6....C7.8..,1........4.2,..3B26.5....,..B...1.6C..,4...8..3..2.,29....7.3..1,B..8.9....A6,.4..B..1...9,..9A.2...5..,....1.24C9..,8.2........B,..1.97....8.
.........8..,.......53.4.,18C.6.4....2,5...86.7..C3,...9..5A.1B.,C..1..9.7..8,B..6.2..8..C,.C9.75..A...,A3..B.C1...7,7....A.C.B25,.6.59.......,..4.........
.5..3..2..9.,...2.CAB.71.,7...8.6...5.,...7.5B.C...,...5...C.9.8,B...A9.35..2,3..CB.45...7,A.1.2...9...,...8.13.A...,.B...6.8...3,.C2.735.6...,.7..4..A..8.
A...C..6.3..,.5.4.A..7.8.,1.37..5.C...,.6....1.45C.,..12........,.7....AB.931,8C4.B2....6.,........18..,.BA1.6....4.,...3.7..B6.A,.A.C..4.8.5.,..7.A..5...C
C2.....8..6.,3..B...9.A2.,.A..2.B75...,......A...48,.12......7A.,6.4..95C....,....3C2..8.4,.5C......2B.,46...1......,...195.B..7.,.B6.A...4..3,.4..6.....12
2.B6..9...4.,17..A8...2..,.9......1..6,A62....5C.8.,5....36.9...,...B72.C....,....2.584...,...8.67....2,.2.14....B65,3..5......A.,..9...23..B4,.1...7..36.C
B....3.....6,.9....8.3...,6...A...9C17,17546.B..9..,..9.41..5...,..C.9.27..8.,.2..84.9.B..,...7..15.2..,..B..7.21539,4A8C...6...2,...B.C....9.,7.....4....C
A9......B8C.,..8..BC..3.7,....3..86...,...C..6.7...,.4.9..2B.5.8,.51B..4..C..,..4..3..57B.,C.5.14..A.8.,...1.A..4...,...46..2....,1.9..5A..6..,.7A3......52
.B..3.7.9.A.,.4..8...1..2,13..4..A.B..,.1....A...8C,..26..C.3...,.....3..B1.A,2.6B..1.....,...5.7..C8..,38...5....6.,..8.A..1..95,C..9...6..1.,.A.1.9.4..C.
B.....76..98,1.8...3..6..,..A.9.......,..2....53.8.,.A.B.7.45...,.3.1..9..4.2,A.7..1..B.5.,...8B.5.4.C.,.5.68....7..,.......8.2..,..6..C...5.9,51..26.....B
..2..8.B...9,.5.A..C....2,....2..4....,.A42C...7..8,B..CA2..6...,.817..3...A.,.9...6..C21.,...3..A94..6,A..6...2935.,....5..C....,5....B..1.9.,4...3.2..5..
.7..B3.28.94,.8..5.A...B.,......6....5,6..9..C34.8B,428..7..C...,.........2.7,A.2.........,...7..8..5C1,81.34B..A..9,B....6......,.C...A.5..1.,74.51.28..6.
4...B....75.,...B..C514..,.....743..A.,8.......4..1,..1..C.4...5,3...7.526B..,..2415.9...A,6...2.A..5..,C..A.......6,.8..397.....,..765A..9...,.A5....8...2
..6A....5...,..7.395.....,43.8...2A.B.,2.9....6....,..AB7.3.9...,8.3...C14...,...61C...3.4,...1.6.725..,....8....1.A,.9.2B...8.A6,.....198.4..,...3....7B..
.........8B.,8.....347.21,....756..A.9,B1.C...9..6.,.6...7..9...,7.9.B..3.4..,..4.3..B.6.2,...2..8...A.,.7..4...1.C3,9.A..327....,C4.791.....6,.81.........
92B..17..6A.,7..18B.....2,..6894...1..,.125.......7,.9.4...7A.2.,B..6........,........B..1,.B.A3...8.5.,4.......376.,..9...412C..,5.....3B9..4,.64..98..573
3.1.A4..2...,........3..5,..B..6...8.C,62..1...A9..,...4...C.B..,..8597.2.C..,..9.5.138A..,..7.C...B...,..5A...9..12,B.3...C..2..,A..8........,...6..34.5.B
B..3......87,C.94...72.A.,...5..3...C.,7...29..B.1C,....B.C.....,1.5...A..9..,..2..A...5.6,.....1.C....,68.C..72...1,.1...4..9...,.B.23...81.A,4A......3..5
..4.B.2.1..8,..7..9.8...5,2.C8..4...B.,5...2..C.7..,.......1.53B,7..9.8..C...,...7..B.2..1,8A6.5.......,..B.A..4...7,.C...6..A8.2,A...3.1..C..,9..4.A.2.1..
2C.......13.,......C8..A.,7.4.3...68C.,.....C..85..,.5.9.3.6...A,..B....4C..6,1..B7....C..,9...C.2.4.8.,..75..8.....,.75C...9.3.B,.9..B5......,.3A.......78
.B..6.C.....,4.61A8.2...7,..2....B.5..,7.9..5......,62..87.A.C5.,85.B.C.17...,...7C.A.5.29,.4A.9.78..CB,......1..8.A,..8.7....4..,C...1.85B2.6,.....4.C..1.
......75.4..,.C.58.4...73,.7....6...85,.2..B.3.9...,.....4C9.B..,..9B...7.2.A,C.B.1...23..,..A.3B9.....,...1.8.4..9.,14...2....B.,7A...9.81.5.,..C.76......
...54...3.2.,B34....8..5.,...89....7.4,8.....97A..B,5.9.8....2..,37.C..B..96.,.2A..8..C.31,..8....2.4.7,4..B6C.....A,7.B....19...,.C..B....672,.8.9...64...
...4...6A...,1.9.B.2.....,B.68..4A.5C.,...6.2.7.1.A,.18C6.......,7..A..C.4...,...B.C..9..3,.......82CA.,5.C.2.A.8...,.43.A7..5B.6,.....6.9.3.4,...54...1...
892.17......,...1....39..,..C7..B....1,9.4....B.1.2,..6.481C..9.,....7...A.83,C8.2...A....,.5..6372.C..,7.9.8....3.4,4....1..C8..,..5C....9...,......54.B17
..5C.3...AB1,.....A.4.7..,..B....6...8,B3...5....64,...8.26..5.C,...548..13..,..47..C28...,3.A..47.6...,58....A...97,A...2....1..,..8.1.4.....,159...3.C4..
.5.B.7...2..,.3.1.2....9.,2..C..A.6..3,1......34..9,.B6A9.8...3.,...9..C.8...,...8.C..2...,.7...A.4931.,3..4B......5,A..5.9..3..4,.4....B.7.2.,..8...4.1.6.
.3..9.2.85..,.46..1......,..C87.....2.,.....C...3B.,465C8B..7...,1...62......,......78...9,...A..42BC61,.9B...C.....,.1.....368..,......B..14.,..74.5.1..A.
...5.......7,.3.8..B2...5,..2.3A..C6..,..5..23...A.,.......C849.,.2....18B...,...9C4....8.,.CB31.......,.1...39..C..,..A7..4B.9..,4...91..7.C.,5.......A...
.A2B6.1..C..,C.69.5.2B7..,...4...9.3..,32.6...5....,1...4....5..,...C..6....2,9....A..6...,..8....4...A,....C...5.13,..1.9...3...,..BA7.5.16.8,..3..C.87AB.
...95..C....,8..6..9B.7C.,.B..1.....A.,.9...C..1...,...2.8.1.6.4,1.B..4.A.C5.,.A6.C.B..8.7,B.C.A.3.9...,...4..7...B.,.3.....9..1.,.89.3B..6..A,....6..5B...
...A..5...C.,..6.8.1.239A,.4....B.1...,.3.....B.6..,.2..C....9..,.6..1.7.CA28,6178.2.9..5.,..3....6..7.,..2.B.....4.,...4.B....8.,18B2.5.4.C..,.A...7..B...
.....142..C.,..2.7..5.A6.,1.3...8..4..,98B..7.....2,.....9.....4,6..53...9.17,31.8...72..6,4.....2.....,B.....6..548,..1..2...6.3,.C6.4..A.2..,.3..C51.....
.42.8.9.....,.9.1.3.4....,8.CB..5..3..,.1.....3A29.,...69.1B7...,7...6....53.,.65....C...9,...824.5C...,.C43A.....B.,..1..6..8A.5,....3.C.4.6.,.....5.7.BC.
..7..6.2..1.,6..A.....C9.,1C9.83......,.A.....9.13.,4..7..8.A96.,....21.A.7..,..4.5.7B....,.B25.8..7..6,.31.4.....C.,......67.B89,.73.....5..C,.9..B.5..3..
7......9....,.64...B2..9.,9A2B37.C....,C...5.4.6...,...4.8..725.,..5..2..39..,..6C..5..1..,.2BA..3.9...,...9.A.4...8,....C.7814B9,.B..24...57.,....B......2
9.....C1.65.,.5..3...A.C.,7.....B.42.9,...B..9.3...,...9.......6,..41.C.6B..A,1..5A.6.94..,8.......7...,...A.2..1...,6.94.5.....7,.B.7...C..8.,.8C.4A.....3
.6B.......15,....7.A.4.6.,..7....B...A,3..2.8.....4,..A65..18B..,5.....3..6.C,2.6..C.....1,..1C4..675..,9.....8.B..6,6...9....1..,.7.8.A.4....,B4.......85.
..1...B3..2.,.76..8.2....,9..BA.6.C4..,..34.95.....,82..3..4.C.6,.B.A......3.,.C......B.5.,2.B.5..6..AC,.....2C.38..,..93.A.12..8,....8.3..17.,.1..6C...5..
53.1.A......,479.......5.,........1.B.,..2.B..4...A,..5..8C13...,..C8.7.2..94,18..C.A.53..,...5148..C..,B...9..3.A..,.4.2........,.6.......841,......3.6.A7
.4.C7.8....6,...76C......,921.B.......,B.9..8.51...,.C.......83.,A3.2.4.1B...,...A1.B.7.68,.9C.......5.,...15.2..9.B,.......6.B43,......1A2...,2....3.4C.1.
4..5A.3...26,72...B.....3,.3....6...A5,...C75.....2,....B4..7...,..62.8...4..,..8...4.62..,...4..97....,B.....5C3...,28...9....C.,9.....A...37,5A...3.84..B
.C...1.....3,..A.9C....6.,.462.3......,7B.8...61.4.,.94.2.....3.,6...7B...2..,..C...12...9,.1.....9.47.,.2.96...C.BA,......9.872.,.A....8B.6..,1.....7...9.
92.1...7..8.,5..B...6..1.,..A7.5..4B..,B....6......,.4...97.1..2,..C3.1..6.9.,.B.6..5.A9..,A..9.78...5.,......1....7,..94..6.5A..,.7..3...2..C,.A..7...9.38
....6...4...,....B.82C6A.,...A.41..9..,.2...A3..C.1,.A1...47.B.6,6..3..B...9.,.1...B..3..9,A.C.16...5B.,9.5..72...8.,..2..1C.6...,.64CA2.B....,...5...8....
9.7...481...,3......7..96,....B....7..,2.1.3.C9....,49B.A7.....C,8A..5.....2.,.B.....3..42,C.....71.A68,....9B.A.1.3,..C....6....,A4..C......7,...813...C.B
1....C.2....,.28C..795...,4..5.8..2.6.,3..8495..7.6,..B.....4...,9......7C5..,..598......A,...2.....C..,7.4..BA58..9,.4.7..B.9..8,...B91..723.,....7.3....4
..BC...83..5,..5..4...7..,1......32.B.,.......5..67,6....73..25.,A.9.2.6....B,C....5.A.B.9,.18..62....3,9A..4.......,.2.57......8,..3...8..4..,4..9C...B5..
...C..5..18.,.1..34.7..9C,.....1...2.B,C.....73.9..,3..A...B5...,..16..4..7B.,.96..3..2C..,...4B...9..6,..2.C8.....7,A.C...6.....,63..5.8C..2.,.B7..2..4...
.3...41.A..C,C...5A.B6...,........2.B8,8...9..63.4.,A.....4...9.,.259B3...6..,..4...B9183.,.1...8.....5,.5.A3..1...7,18.B........,...57.38...B,7..2.B6...5.
.1.3....A9..,.....3.7....,9B4........C,2.1....43..A,..3..9B.7...,87C..236.B..,..2.786..534,...1.4A..8..,7..59....A.2,6........CAB,....3.8.....,..B8....2.4.
..372..1.8.5,...4....2.9B,..8..95...7.,4......6B.5.,.9..5......2,...B.78.3A..,..B6.12.C...,2......5..1.,.5.98......6,.8...C7..1..,17.C....9...,B.4.1..956..
45...8.7.9..,.8..5..67...,.C...A......,B7..........,195.3...6C..,..C.72A.4.1B,26.4.178.A..,..AC...3.647,..........32,......2...9.,...54..1..8.,..9.8.C...A1
A.......C45.,..1.85..3A.9,8.54.9......,.A....2.1..B,..6.38.9..4.,.......5A.3.,.7.86.......,.3..9.87.C..,6..A.B....2.,......9.B3.7,7.A2..B4.5..,.B31.......2
...B7.....19,1698...2...3,2.C7...3...B,..4..8......,..85.6.1....,B..32.4...5.,.3...B.54..A,....4.A.37..,......3..C..,9...B...23.6,8...1...CB97,32.....81...
1...3..5....,3.......6A..,....2.4..18.,A.....87..C.,2C.5.B.1.4.8,6....3...95.,.B7...C....1,5.1.9.6.8.A7,.3..B1.....6,.5A..6.9....,..C1.......2,....A..2...4
.......C3.76,172...B..C..,....89..A.B.,...745....6.,...6...3...C,.C.8.....425,CB5.....6.1.,4...2...C...,.3....5A8...,.6.C..12....,..7..B...653,A1.57.......
...4...1.82.,...B.63.....,.....C.7B.A4,.5...7.3.96.,C.........8.,B.4A.2..51..,..27..9.65.B,.3.........C,.BC.3.7...4.,62.85.B.....,.....A1.C...,.A1.7...9...
.7..3.1..A.B,46.....7195.,...8....7.C4,7...19....8.,.4.C.8...1A.,B.8.6..4....,....4..1.5.A,.B5...A.3.1.,.C....36...9,CA.4....5...,.579B.....3C,6.B..5.C..4.
..BA3.5.7...,..3.4172....,6..2.B...1..,...19...8..C,.7..6.2...51,..8....C.4..,..5.C....9..,34...2.7..6.,1..C...45...,..6...4.C..3,....15CA.6..,...B.6.847..
......875...,..91A5.B...4,6..A..93...1,.C7.6..8.9..,4.......B8.7,8....B4...6.,.9...31....2,3.14.......C,..C.8..4.13.,9...32..7..6,1...9.B634..,...C14......
...7...8.A5.,6.14..9.....,....C...29..,..9..2..54..,.B5....46.3.,.2.A...9.C8B,416.8...9.7.,.7.21....5C.,..B9..5..1..,..A3...C....,.....5..18.C,.42.6...B...
7.....265...,..459....26.,...2..1.4.7.,6..3.5.82.AB,..9..C...7..,..2..9A...4C,B8...1C..6..,..6...9..B..,35.76.8.9..4,.9.4.6..B...,.23....974..,...647.....2
..7..5CB..3.,2..9.....41.,.63...1..9..,63.21.....89,....83...1..,..482..C.7..,..B.6..185..,..8...37....,79.....51.B3,..1..6...3A.,.86.....7..4,.4..C78..B..
.....A.263.5,....6.9.1.8C,1...C...A.B.,81....2.B...,23A.8.......,64.9.57A....,....374.C.5B,.......C.931,...7.1....A6,.2.A...1...8,46.8.9.B....,5.C32.A.....
.C....A..6..,...B...938..,8.6.372...9.,..5.4.81...7,...4.A9..B.5,.7...2.....8,7.....B...2.,6.1..95.C...,A...64.7.3..,.5...31A.2.4,..A9C...6...,..8..B....A.
.......8412.,.4...7....69,A9B.5.628.7.,..C.....5...,....C..678B.,....8.5.93..,..A9.C.5....,.82B4..1....,...6.....B..,.2.875.3.4C1,C7....1...3.,.1436.......
...A3..4.C..,.3.C..8..B.4,......1.A.7.,...2..B.C.4.,48..6....3..,..3.2A.19.8.,.B.31.29.7..,..4....8..39,.C.9.5..1...,.9.7.1......,1.C..8..4.A.,..6.7..B2...
...7..B....3,15.6...389..,83.B7..5....,9......1C...,..2C.7.9....,6..3..C..BA9,285..6..3..A,....C.3.64..,...14......2,....9..75.64,..193...A.8C,C....A..9...
...B.C.18..5,.38....A....,1.C46.......,.6....8...12,.81.2BC.....,4..C...5...B,7...5...9..6,.....96B.8A.,6C...1....B.,.......251.4,....9....36.,C..67.4.B...
...A9C..28.4,2..1.45.6.3C,.......3....,.....8.1.7.5,8C1..3.9..6.,7.....C..18.,.2C..A.....9,.5..C.9..2B1,4.B.5.6.....,....3.......,C8.4.62.7..3,5.32..47A...
8..9......7.,..4.5.628...,.6.....3.4..,6....A.1..85,..9...C5A.3.,..A.8.2..6.B,A.1..5.6.B..,.4.627...5..,5C..1.B....A,..B.C.....6.,...562.4.3..,.7......9..4
8..7.C2A9...,5.369....A..,....386....C,.16589......,.7........B.,A3.4..C5....,....B1..4.C3,.9........7.,......98B51.,7....AB3....,..5....914.B,...2145.A..7
.......3..52,.7..4...3.1.,...19...B8.4,7..C.9...A..,.A19.6C.57.3,..2...7....8,3....B...4..,5.98.41.C3B.,..7...2.A..9,8.57...91...,.9.6...5..4.,AC..1.......
3......6.C1.,.7.1...3.5..,5...A...B4.9,.....5.29BC6,7..96A......,...69..4..7.,.9..4..B7...,......7A8..C,8573C.2.....,2.85...7...A,..9.8...1.B.,.6A.3......5
...3....B2.6,9B....C.....,4.....A27.9.,.8..A..C....,6..C1..B..73,........8A.5,A.C1........,32..7..4A..B,....6..8..2.,.1.625.....C,.....3....8A,5.47....6...
.5...7.A.4..,.C.6..18.7.3,..........86,6..3..2..1.8,28.5.43....7,..C.....A...,...4.....B..,1....97.8.3A,8.B..6..1..9,B6..........,7.4.AB..C.9.,..1.5.6...2.
